Good,Bad
-84.6875,-24.8125
-85.0625,-25.625
-86.125,-26.625
-88.375,-27.25
-93.1875,-27.375
-98.5,-27.4375
-104.5,-27.5
-110.75,-27.6875
-116.75,-28.0625
-122.875,-28.5
-130,-29.5
-136.5,-31.5
-139.9375,-34.25
-139.8125,-37.25
-136.1875,-40.5625
-127.6875,-44.4375
-115.9375,-48.125
-101.875,-51.875
-85.8125,-55.375
-71.3125,-58
-59.25,-60.25
-48.25,-62.375
-40.1875,-64.25
-34.75,-66.0625
-30.0625,-68
-25.6875,-70.1875
-22.25,-72.1875
-19.6875,-73.75
-17.8125,-75.125
-16.1875,-76.375
-14.8125,-77
-13.625,-77.1875
-13.5625,-77.25
-14.1875,-77.4375
-14.375,-78
-15,-78.6875
-16.625,-79.625
-19.5,-80.5
-23.25,-81.6875
-27.75,-83.375
-32.3125,-86.375
-36.5625,-90.25
-41.8125,-94.5625
-47.9375,-98.6875
-53.8125,-102.8125
-59.0625,-107.0625
-63.3125,-111.875
-66.5625,-117.3125
-69.125,-121.875
-71.8125,-124.75
-74,-123.25
-75.0625,-114.25
-76.625,-103.75
-78.875,-88.0625
-81.125,-70.375
-82.875,-54.8125
-84.625,-41.5625
-85.875,-30.8125
-86.9375,-23.375
-88.3125,-19.75
-89.4375,-17.875
-89.1875,-16.875
-89.25,-16.0625
-89.3125,-15.5
-89.3125,-15.125
-89.3125,-15.4375
-89.3125,-16.4375
-89.375,-17.4375
-89.375,-18.0625
-89.375,-18.6875
-89.375,-20
-89.375,-21.6875
-89.625,-23.3125
-89.8125,-25.125
-90.625,-27.375
-91.6875,-30.4375
-91.5,-33.8125
-93,-36.6875
-97.0625,-38.6875
-103.125,-40.25
-108.375,-42.1875
-111.125,-44.375
-113.3125,-46.375
-114.875,-48.375
-115.1875,-50.5
-113.3125,-53.5625
-110.3125,-56.6875
-107.25,-59.8125
-104.875,-62.75
-104.25,-65.375
-104.9375,-67.5625
-104.125,-69.625
-97.5625,-71.8125
-86.9375,-74.375
-74.25,-77.75
-61.5,-81.5625
-50.875,-85.5625
-42.5,-90.625
-35.4375,-96.0625
-29.8125,-101.3125
-24.625,-104.75
-19.625,-107.0625
-15.0625,-107.75
-11.375,-107.5
-9.5625,-107.3125
-9.625,-107.25
-10.625,-107.3125
-11.9375,-107.3125
-13.75,-107.5625
-17.4375,-107.875
-23.5625,-109.6875
-30.4375,-113.625
-36.8125,-117.75
-42.75,-120.625
-49.8125,-118.4375
-58,-109.25
-66.625,-94.6875
-73.9375,-76.625
-79.75,-58.25
-84.5,-42.875
-87.625,-31
-89.6875,-23.1875
-91.4375,-18.625
-93.4375,-15.9375
-95.3125,-13.8125
-97.6875,-12.375
-99.1875,-11.9375
-100.375,-12.4375
-101,-13.375
-101.375,-14.25
-101.125,-15.3125
-100.375,-16.9375
-99.9375,-19.375
-100.1875,-22.25
-100.125,-24.9375
-100.25,-27.125
-100.3125,-27.875
-100.4375,-27.3125
-100.5,-27.25
-100.5,-28
-100.5,-29.1875
-100.5,-30.125
-100.5625,-32.5
-100.6875,-37.8125
-100.8125,-45.5625
-101,-53.25
-101.125,-58.25
-101.0625,-61.5625
-101.0625,-64.125
-101.125,-66.3125
-101.125,-68
-101.125,-69.0625
-101.125,-69.6875
-101.25,-70.5625
-101.375,-70.9375
-101.4375,-71.0625
-101.375,-71
-101.4375,-70.5625
-101.5,-69.4375
-101.625,-67.75
-101.6875,-65.9375
-101.625,-64.4375
-101.625,-63.4375
-101.625,-63.1875
-101.625,-64.5625
-101.6875,-68.75
-101.625,-74.9375
-101.625,-81.625
-101.625,-88
-101.625,-91.5625
-101.75,-93.0625
-101.8125,-92.5
-101.8125,-91
-101.875,-89.75
-101.875,-89.625
-101.9375,-90.8125
-101.9375,-94.1875
-102,-99.375
-102.0625,-106.875
-102,-114.3125
-102.125,-119.125
-102.125,-120.4375
-102.0625,-119.5625
-102.125,-115.8125
-102.1875,-108.0625
-102.25,-97.625
-102.3125,-85.4375
-102.3125,-72.25
-102.4375,-59.8125
-102.5,-49.375
-102.5,-40.0625
-102.5,-32.75
-102.25,-26.1875
-101.6875,-19.75
-99.5,-13.875
-93.8125,-9.1875
-83.5,-7.25
-70.875,-7.9375
-58.625,-10
-46.5625,-13
-37.5,-17.1875
-30.125,-21.9375
-25.25,-26.25
-21.8125,-30.875
-19.8125,-36.5
-19.4375,-42.8125
-19.9375,-50.0625
-20.8125,-58.3125
-21.8125,-66.625
-24,-74.4375
-26.9375,-82.5
-29.375,-90.6875
-29.75,-95.625
-29.0625,-95
-28.8125,-94.5
-30,-92.5625
-31.5625,-92.25
-32.3125,-94.4375
-32.5,-98.0625
-33.3125,-102.3125
-35.0625,-107.1875
-37.5,-111.6875
-40.1875,-115.4375
-42.5625,-118.25
-44.5625,-120.3125
-46.125,-121.25
-47.5625,-121.3125
-48.8125,-120.5625
-49.8125,-118.1875
-50.75,-114
-51.75,-107.25
-52.5,-98.1875
-52.875,-86.5
-52.9375,-73.4375
-53.3125,-60.3125
-54.125,-47.8125
-55.5,-36.0625
-57.0625,-26.5
-58.5,-19.125
-59.6875,-14.0625
-60.8125,-10.8125
-61.75,-9.25
-62.8125,-9.8125
-63.9375,-11.0625
-64.9375,-12.625
-65.75,-14.3125
-66.875,-16.0625
-68.0625,-18.125
-69.0625,-20.8125
-69.75,-23.6875
-70.25,-26.375
-71.125,-28.8125
-72.1875,-30.5625
-73.5,-32.4375
-74.5,-34.5625
-75,-36.5625
-75.5,-37.8125
-75.9375,-38.25
-76.3125,-38.3125
-76.6875,-38.75
-77.125,-40.625
-77.3125,-43.6875
-77.3125,-48.1875
-77.3125,-54.75
-77.3125,-63.1875
-77.3125,-71.875
-77.3125,-81.25
-77.3125,-90.0625
-77.3125,-96
-77.25,-96.4375
-77.25,-97.0625
-77.25,-98.4375
-77.25,-99.9375
-77.25,-100.6875
-77.25,-100.5625
-77.25,-99.5
-77.25,-97.9375
-77.25,-94.875
-77.625,-92.6875
-80.4375,-89.6875
-84.75,-81.75
-89,-77.5
-93.375,-77.75
-98.125,-80.9375
-105.6875,-78.625
-116.375,-80.5
-120.25,-81.5625
-120.4375,-81.25
-120.75,-80.8125
-120.75,-80.4375
-120.6875,-79.3125
-120.5,-82.4375
-120.375,-92.8125
-120.3125,-105
-120.1875,-115.8125
-120.125,-121.3125
-120.0625,-118.125
-119.9375,-109
-119.875,-106.25
-119.8125,-106.9375
-119.8125,-106.3125
-119.75,-103.375
-119.6875,-100.5
-119.625,-98.625
-119.625,-97.8125
-119.5625,-97.125
-119.5625,-95.75
-119.5625,-94.25
-119.5,-92.0625
-119.3125,-90.125
-118.625,-89.375
-117.125,-91.1875
-113.625,-96.8125
-108.625,-101.625
-101.8125,-105.25
-93.4375,-102.6875
-82.375,-99.75
-70.5625,-98.1875
-59.4375,-97.5625
-50.5,-97.8125
-42.625,-98.625
-35.25,-101.6875
-28.8125,-104.875
-23.4375,-111
-19.0625,-115.875
-15.75,-114.25
-13.875,-106.1875
-13.25,-94.3125
-13.25,-81.5
-13.25,-71.5
-13.4375,-65.25
-13.625,-60.5
-13.625,-56.75
-13.6875,-53.25
-14,-50.5
-14.25,-48
-14.3125,-45.8125
-14.4375,-43.75
-14.75,-41.6875
-15.3125,-39.4375
-16,-37.0625
-16.75,-34.4375
-17.875,-31.9375
-19.625,-29.5
-22,-27.9375
-24.875,-27.25
-28.25,-27.5
-32.1875,-28.8125
-37.0625,-30.75
-42.875,-33.75
-49.8125,-38.375
-57,-44.0625
-64,-50.5625
-70.625,-57.9375
-76.25,-66.625
-80.625,-77.125
-84.0625,-88
-85.4375,-98.375
-84.625,-106.5
-83.1875,-106.5
-81.5,-106.5
-79.8125,-106.5
-78.9375,-106.5
-78.9375,-106.5
-79.4375,-106.5
-80.8125,-106.5
-82.625,-106.5
-84.1875,-106.5
-85.3125,-106.5
-86.4375,-106.5
-86.875,-106.5
-86.75,-106.4375
-86.625,-106.4375
-86.375,-106.375
-86.25,-106.25
-86.25,-105.9375
-86.25,-104.9375
-86.1875,-104.1875
-86.125,-103.3125
-86.125,-102
-86.0625,-99.6875
-86.0625,-97.125
-86.0625,-95.5625
-86,-95.75
-86,-97.125
-86,-99.0625
-86,-101.3125
-85.9375,-105.25
-86,-105.9375
-86.1875,-104.5
-86.625,-99.5625
-87.8125,-91.4375
-91.9375,-80.6875
